elevator,rooms,address,price,size
 con ascensore,3 ,"Trilocale in via di porta vercellina, s.n.c, San Vittore-Washington, Milano",1.800,125 
 con ascensore,3 ,"Trilocale in via renato serra, 14, Fiera, Milano",1.500,80 
 senza ascensore,3 ,"Trilocale in via Delle Betulle, 32, Olmi-Muggiano, Milano",900,90 
,,"Appartamento su due piani in via Michele Pericle Negrotto, 31, Quarto Oggiaro-Euromilano, Milano",800,65 
 con ascensore,3 ,"Appartamento su due piani in via Novara, 13, San Bernardino-Ospedale Nuovo, Legnano",1.200,130 
 con ascensore,4 ,"Quadrilocale in corso di porta nuova, 48, Moscova-Repubblica, Milano",1.880,126 
 senza ascensore,2 ,"Bilocale in corso Garibaldi, s.n.c, Moscova-Repubblica, Milano",1.000,40 
 con ascensore,2 ,"Bilocale in via palermo, 5, Moscova-Repubblica, Milano",1.083,45 
 senza ascensore,2 ,"Bilocale in via solferino, 11, Moscova-Repubblica, Milano",800,34 
 con ascensore,4 ,"Quadrilocale in corso di porta nuova, 48, Moscova-Repubblica, Milano",1.710,114 
 con ascensore,2 ,"Bilocale in via soperga, s.n.c, Brianza-Pasteur, Milano",1.040,60 
 con ascensore,3 ,"Trilocale in via Caravaggio, 2, Segrate",1.100,105 
 con ascensore,,"Monolocale in via antonio stoppani, s.n.c, Abruzzi, Milano",600,25 
 con ascensore,2 ,"Bilocale in via privata raimondo montecuccoli, 4, Soderini, Milano",750,50 
 con ascensore,2 ,"Bilocale in via antonio stoppani, s.n.c, Abruzzi, Milano",900,55 
 con ascensore,3 ,"Trilocale in via san damiano, s.n.c, Palestro, Milano",2.170,116 
 con ascensore,2 ,"Bilocale in via savona, 67, Solari-Savona-Tortona, Milano",800,55 
 con ascensore,5 ,"Appartamento in via della liberazione, 15, Moscova-Repubblica, Milano",8.334,200 
 senza ascensore,3 ,Trilocale a Vittuone,600,100 
 senza ascensore,3 ,"Trilocale in via valverde, s.n.c, Trezzo sull'Adda",600,75 
,3 ,"Trilocale in via carlo ravizza, 20, Fiera, Milano",1.500,110 
 con ascensore,2 ,"Bilocale in via rogoredo, 21, Rogoredo-Santa Giulia, Milano",750,60 
