size,elevator,address,rooms,price
72 , con ascensore,"Trilocale in corso lodi, Brenta, Milano",3 ,220.000
120 , con ascensore,"Quadrilocale in via achille grandi, 1, Masate",4 ,158.000
40 , con ascensore,"Monolocale in via giuseppe monti, 6, Olmi-Muggiano, Milano",,125.000
120 ,,"Monolocale in via zumbini, Naviglio Grande-Barona, Milano",,450.000
95 , con ascensore,"Trilocale in via turati, 28, Trezzano sul Naviglio",3 ,125.000
90 , con ascensore,"Bilocale in via monte grappa, 60, Cinisello, Cinisello Balsamo",2 ,110.000
180 ,,"Quadrilocale in ripa di porta ticinese, 37, Navigli-Porta Genova, Milano",4 ,900.000
111 , ,"Trilocale in via caravaggio, 50, Trezzano Rosa",3 ,149.000
144 ,,"Quadrilocale in via unità d'italia, 6, Pozzo d'Adda",4 ,249.000
55 , con ascensore,"Bilocale in via grigna, Varesina-Testori, Milano",2 ,167.000
85 , con ascensore,"Trilocale in via monza, 319, Precotto, Milano",3 ,160.000
125 , con ascensore,"Appartamento su due piani in via radaelli, 11, Area Lavanderie-Redecesio, Segrate",3 ,340.000
310 , con ascensore,"Appartamento in piazza Della Repubblica, Moscova-Repubblica, Milano",7 ,1.550.000
102 , con ascensore,"Trilocale in via Ariberto, Navigli-Porta Genova, Milano",3 ,550.000
150 , con ascensore,"Appartamento in via Fermi, Corsico",5 ,240.000
110 ,,"Trilocale in via Gaetano Airaghi, Quinto Romano, Milano",3 ,330.000
50 , senza ascensore,"Bilocale in via Leonardo Da Vinci, Cesano Boscone",2 ,99.000
160 , con ascensore,"Attico in via Unità d'italia, s.n.c, Pozzo d'Adda",4 ,255.000
125 , con ascensore,"Trilocale in via ponte seveso, 43, Greco-Villaggio dei Giornalisti, Milano",3 ,440.000
290 , con ascensore,"Attico in corso italia, Vetra-Missori, Milano",5 ,2.044.500
80 , con ascensore,"Trilocale in via carlo salerno, Trezzano sul Naviglio",3 ,150.000
98 ,,"Trilocale in via giotto, 2, Segrate Centro, Segrate",3 ,321.000
80 ,,"Bilocale in via Pola, 2, Garibaldi-Isola, Milano",2 ,454.800
81 ,,"Bilocale in via Pola, 2, Garibaldi-Isola, Milano",2 ,454.800
80 ,,"Bilocale in via Pola, 2, Garibaldi-Isola, Milano",2 ,467.700
86 ,,"Attico in via Pola, 2, Garibaldi-Isola, Milano",3 ,520.800
78 ,,"Bilocale in via Pola, 2, Garibaldi-Isola, Milano",2 ,430.600
